cohort_month,cash_request_id,status,cash_request_amount
2020-06,4611.0,3,100.0
2020-06,4615.0,3,100.0
2020-06,4645.0,3,100.0
2020-06,4657.0,3,100.0
2020-06,4680.0,3,100.0
2020-06,4703.0,3,80.0
2020-06,4708.0,4,100.0
2020-06,4711.0,3,100.0
2020-06,4740.0,3,100.0
2020-06,4774.0,3,100.0
2020-06,4791.0,3,45.0
2020-06,4797.0,3,100.0
2020-06,4885.0,3,100.0
2020-06,4889.0,3,100.0
2020-06,4895.0,3,50.0
2020-06,4899.0,3,50.0
2020-06,4908.0,3,100.0
2020-06,4910.0,3,100.0
2020-06,4919.0,3,50.0
2020-06,4920.0,4,100.0
2020-06,4926.0,3,100.0
2020-06,4928.0,3,50.0
2020-06,4944.0,3,100.0
2020-06,4956.0,4,50.0
2020-06,4973.0,3,100.0
2020-06,4981.0,3,100.0
2020-06,4989.0,3,50.0
2020-06,4997.0,3,100.0
2020-06,5006.0,3,100.0
2020-06,5018.0,3,100.0
2020-06,5019.0,3,100.0
2020-06,5043.0,3,100.0
2020-06,5044.0,3,100.0
2020-06,5080.0,3,100.0
2020-06,5103.0,3,100.0
2020-06,5110.0,3,100.0
2020-06,5122.0,3,50.0
2020-06,5123.0,4,100.0
2020-06,5342.0,3,100.0
2020-06,5371.0,3,100.0
2020-06,5379.0,3,100.0
2020-06,5383.0,3,50.0
2020-06,5433.0,3,100.0
2020-06,5462.0,3,50.0
2020-06,5500.0,3,50.0
2020-06,5523.0,3,100.0
2020-06,5529.0,3,50.0
2020-06,5531.0,3,100.0
2020-06,5542.0,3,100.0
2020-06,5560.0,3,100.0
2020-06,5568.0,3,100.0
2020-06,5598.0,3,100.0
2020-06,5603.0,3,100.0
2020-06,5618.0,3,100.0
2020-06,5625.0,3,100.0
2020-06,5657.0,3,100.0
2020-06,5665.0,3,100.0
2020-06,5686.0,3,100.0
2020-06,5698.0,3,50.0
2020-06,5714.0,4,100.0
2020-06,5752.0,3,100.0
2020-06,5788.0,3,100.0
2020-06,5791.0,3,100.0
2020-06,5809.0,4,100.0
2020-06,5839.0,3,100.0
2020-06,5868.0,3,50.0
2020-06,5883.0,3,100.0
2020-06,5887.0,3,100.0
2020-06,5891.0,3,60.0
2020-06,5911.0,3,100.0
2020-06,5914.0,3,100.0
2020-06,5919.0,3,100.0
2020-06,5925.0,3,100.0
2020-06,5927.0,3,100.0
2020-06,5947.0,3,100.0
2020-06,5958.0,3,100.0
2020-06,5967.0,3,100.0
2020-06,5971.0,3,100.0
2020-06,5979.0,3,100.0
2020-06,5988.0,3,100.0
